epoch: 11 || Test_Reward: -64.56899859254129 || Final_Distance_to_Target: 0.4790945168885194 || Continuity_Cost: 1.3695013709366322 
epoch: 12 || Test_Reward: -64.64918253408327 || Final_Distance_to_Target: 0.47909318846228277 || Continuity_Cost: 1.5785276889801025 
epoch: 13 || Test_Reward: -64.67372405948603 || Final_Distance_to_Target: 0.47909478666882055 || Continuity_Cost: 1.686549372971058 
epoch: 14 || Test_Reward: -64.62227488709645 || Final_Distance_to_Target: 0.479092799498674 || Continuity_Cost: 2.1923424676060677 
epoch: 15 || Test_Reward: -64.83247172660391 || Final_Distance_to_Target: 0.4790940005662177 || Continuity_Cost: 1.7820371314883232 
epoch: 16 || Test_Reward: -65.10563873328282 || Final_Distance_to_Target: 0.47909323451032165 || Continuity_Cost: 2.8252243995666504 
epoch: 17 || Test_Reward: -64.49517861600435 || Final_Distance_to_Target: 0.4790929605636295 || Continuity_Cost: 1.3217207975685596 
epoch: 18 || Test_Reward: -64.57254543468741 || Final_Distance_to_Target: 0.479092946330145 || Continuity_Cost: 1.659230887889862 
epoch: 19 || Test_Reward: -64.84085664219654 || Final_Distance_to_Target: 0.479092634864176 || Continuity_Cost: 2.8371641412377357 
epoch: 20 || Test_Reward: -64.56260354362664 || Final_Distance_to_Target: 0.47909250151283084 || Continuity_Cost: 1.7002984881401062 
epoch: 21 || Test_Reward: -64.62111462645352 || Final_Distance_to_Target: 0.47909198987356355 || Continuity_Cost: 1.39827448874712 
epoch: 22 || Test_Reward: -64.51729232513081 || Final_Distance_to_Target: 0.4790923984605403 || Continuity_Cost: 2.769751474261284 
epoch: 23 || Test_Reward: -64.87347609819172 || Final_Distance_to_Target: 0.47909358530636503 || Continuity_Cost: 2.2597748786211014 
epoch: 24 || Test_Reward: -64.38574413697305 || Final_Distance_to_Target: 0.47909297799483214 || Continuity_Cost: 1.6055721789598465 
epoch: 25 || Test_Reward: -64.58207442840339 || Final_Distance_to_Target: 0.47909220479806525 || Continuity_Cost: 1.7273850739002228 
epoch: 26 || Test_Reward: -65.10669512431843 || Final_Distance_to_Target: 0.4790965974316129 || Continuity_Cost: 2.3118844255805016 
epoch: 27 || Test_Reward: -64.47042494149814 || Final_Distance_to_Target: 0.4790928764501998 || Continuity_Cost: 1.87754575163126 
epoch: 28 || Test_Reward: -64.83257701068896 || Final_Distance_to_Target: 0.4790923655727094 || Continuity_Cost: 1.7998984083533287 
epoch: 29 || Test_Reward: -64.61364934074889 || Final_Distance_to_Target: 0.4790925394570438 || Continuity_Cost: 1.687060296535492 
epoch: 30 || Test_Reward: -64.54670362291354 || Final_Distance_to_Target: 0.4790932038719453 || Continuity_Cost: 1.3742916285991669 
epoch: 31 || Test_Reward: -64.40930536087882 || Final_Distance_to_Target: 0.4790930205555052 || Continuity_Cost: 2.96486746519804 
epoch: 32 || Test_Reward: -64.6745428386877 || Final_Distance_to_Target: 0.4790930292831997 || Continuity_Cost: 1.3083197176456451 
epoch: 33 || Test_Reward: -65.1790517565366 || Final_Distance_to_Target: 0.47909416202381444 || Continuity_Cost: 3.3447373658418655 
epoch: 34 || Test_Reward: -64.45223356600961 || Final_Distance_to_Target: 0.47909222273334473 || Continuity_Cost: 1.215261872857809 
epoch: 35 || Test_Reward: -64.7910857272616 || Final_Distance_to_Target: 0.47909188316515516 || Continuity_Cost: 1.4941063709557056 
epoch: 36 || Test_Reward: -64.78257834225045 || Final_Distance_to_Target: 0.4790937633091565 || Continuity_Cost: 1.3442234136164188 
epoch: 37 || Test_Reward: -64.74478432295702 || Final_Distance_to_Target: 0.4790923681347947 || Continuity_Cost: 2.05462034791708 
epoch: 38 || Test_Reward: -64.6547558334436 || Final_Distance_to_Target: 0.4790932526126403 || Continuity_Cost: 2.2700492292642593 
epoch: 39 || Test_Reward: -64.66789974321799 || Final_Distance_to_Target: 0.4790921685491866 || Continuity_Cost: 2.2484343498945236 
epoch: 40 || Test_Reward: -64.72289241249673 || Final_Distance_to_Target: 0.4790926339592778 || Continuity_Cost: 2.281845360994339 
epoch: 41 || Test_Reward: -64.5638954768347 || Final_Distance_to_Target: 0.479092545945484 || Continuity_Cost: 2.4101529270410538 
epoch: 42 || Test_Reward: -64.37245352037887 || Final_Distance_to_Target: 0.47909301485121314 || Continuity_Cost: 1.7205577343702316 
epoch: 43 || Test_Reward: -64.88794330467609 || Final_Distance_to_Target: 0.47909246608069184 || Continuity_Cost: 1.8576905131340027 
epoch: 44 || Test_Reward: -64.79585397082423 || Final_Distance_to_Target: 0.4790928496358246 || Continuity_Cost: 1.2432423420250416 
